datetime,cpu_percent,memory_percent,memory_used_mb,bytes_sent_total,bytes_recv_total,bytes_sent_1sec,bytes_recv_1sec
2026-09-15 14:02:38,6.8,48.7,15814.55,832658078,8693883129,1074,5571
2026-09-15 14:02:39,11.3,48.7,15816.41,832662322,8693895556,4244,12427
2026-09-15 14:02:40,8.8,48.7,15834.65,832665195,8693906818,2873,11262
2026-09-15 14:02:41,16.7,48.8,15846.22,832666414,8693925433,1219,18615
2026-09-15 14:02:42,26.9,48.0,15593.29,832677384,8693941988,10970,16555
2026-09-15 14:02:43,31.8,48.1,15624.33,832684846,8693970060,7462,28072
2026-09-15 14:02:44,19.9,48.2,15646.97,832685854,8693971375,1008,1315
2026-09-15 14:02:45,21.8,48.3,15680.56,832690915,8693975411,5061,4036
2026-09-15 14:02:46,5.2,48.3,15684.18,832714217,8693977617,23302,2206
2026-09-15 14:02:47,11.3,48.3,15680.82,832727745,8694001363,13528,23746
2026-09-15 14:02:48,11.6,48.2,15654.04,832728830,8694005652,1085,4289
2026-09-15 14:02:49,14.3,48.1,15619.67,832729710,8694006491,880,839
